"Location" "Year" "BaseLinePerHead" "TotalGranted" "Current.LA.code" "Local.authority" "County"
"Kingston upon Thames" "2013/14" 52 9049000 "E09000021" "Kingston upon Thames" "Greater London"
"Lambeth" "2013/14" 78 25438000 "E09000022" "Lambeth" "Greater London"
"Lewisham" "2013/14" 66 19541000 "E09000023" "Lewisham" "Greater London"
"Merton" "2013/14" 42 8985000 "E09000024" "Merton" "Greater London"
"Newham" "2013/14" 68 23738000 "E09000025" "Newham" "Greater London"
"Redbridge" "2013/14" 32 10374000 "E09000026" "Redbridge" "Greater London"
"Richmond upon Thames" "2013/14" 39 7676000 "E09000027" "Richmond upon Thames" "Greater London"
"Southwark" "2013/14" 68 21809000 "E09000028" "Southwark" "Greater London"
"Sutton" "2013/14" 41 8384000 "E09000029" "Sutton" "Greater London"
"Tower Hamlets" "2013/14" 113 31382000 "E09000030" "Tower Hamlets" "Greater London"
"Waltham Forest" "2013/14" 38 11161000 "E09000031" "Waltham Forest" "Greater London"
"Wandsworth" "2013/14" 76 24738000 "E09000032" "Wandsworth" "Greater London"
"Westminster" "2013/14" 128 30384000 "E09000033" "Westminster" "Greater London"
"Medway Towns" "2013/14" 44 13170000 "E06000035" "Medway UA" "Kent"
"Bracknell Forest" "2013/14" 22 2772000 "E06000036" "Bracknell Forest UA" "Berkshire"
"West Berkshire" "2013/14" 25 4381000 "E06000037" "West Berkshire UA" "Berkshire"
"Reading" "2013/14" 43 7466000 "E06000038" "Reading UA" "Berkshire"
"Slough" "2013/14" 31 4988000 "E06000039" "Slough UA" "Berkshire"
"Windsor and Maidenhead" "2013/14" 20 3192000 "E06000040" "Windsor and Maidenhead UA" "Berkshire"
"Wokingham" "2013/14" 22 3839000 "E06000041" "Wokingham UA" "Berkshire"
"Milton Keynes" "2013/14" 28 7989000 "E06000042" "Milton Keynes UA" "Buckinghamshire"
"Brighton and Hove" "2013/14" 64 18185000 "E06000043" "Brighton and Hove UA" "East Sussex"
"Portsmouth" "2013/14" 73 15737000 "E06000044" "Portsmouth UA" "Hampshire"
"Southampton" "2013/14" 54 14313000 "E06000045" "Southampton UA" "Hampshire"
"Isle of Wight" "2013/14" 41 5922000 "E06000046" "Isle of Wight UA" "Isle of Wight"
"Buckinghamshire" "2013/14" 28 3920250 "E07000004" "Aylesbury Vale" "Buckinghamshire"
"Buckinghamshire" "2013/14" 28 3920250 "E07000005" "Chiltern" "Buckinghamshire"
"Buckinghamshire" "2013/14" 28 3920250 "E07000006" "South Bucks" "Buckinghamshire"
"Buckinghamshire" "2013/14" 28 3920250 "E07000007" "Wycombe" "Buckinghamshire"
"East Sussex" "2013/14" 43 4767800 "E07000061" "Eastbourne" "East Sussex"
"East Sussex" "2013/14" 43 4767800 "E07000062" "Hastings" "East Sussex"
"East Sussex" "2013/14" 43 4767800 "E07000063" "Lewes" "East Sussex"
"East Sussex" "2013/14" 43 4767800 "E07000064" "Rother" "East Sussex"
"East Sussex" "2013/14" 43 4767800 "E07000065" "Wealden" "East Sussex"
