Unnamed: 0,Unnamed: 1,Current LA code,Local authority,County,Region,Usual residents 1991,Usual residents 2001,Usual residents 2011,Percentage change in usual residents 2001,Percentage change in usual residents 2011,Population density (km2) 2001,Population density (km2) 2011,Sex ratio 2001,Sex ratio 2011,Median age 2001,Median age 2011,Percentage of population aged 0-4 2001,Percentage of population aged 0-4 2011,Percentage of population aged 0-14 2001,Percentage of population aged 0-14 2011,Percentage of population aged 15-64 2001,Percentage of population aged 15-64 2011,Percentage of population aged 65 and over 2001,Percentage of population aged 65 and over 2011,Percentage of population aged 90 and over 2001,Percentage of population aged 90 and over 2011,Short term residents 2011,"Short-term residents per 10,000 usual residents 2011",Households 2001,Households 2011,Percentage change in households 2011,Average household size (persons) 2011,Response rate 2001,Response rate 2011,Internet return rates 2011
77.0,45UE,E07000226,Crawley,West Sussex,South East,"88,300","100,400","106,597",13.7,6.2,2233.0,"2,370",97.6,97.8,35.0,35.0,6.7,7.6,19.9,19.5,65.6,67.9,14.6,12.6,0.4,0.6,255,23.9,"40,000","42,727",6.8,2.5,90.5,94.5,20.2
142.0,45UF,E07000227,Horsham,West Sussex,South East,"109,700","122,300","131,301",11.5,7.4,231.0,248,94.4,94.5,40.0,44.0,6.0,5.4,19.3,17.4,63.9,63.1,16.6,19.5,0.8,1.0,179,13.6,"50,000","54,923",9.8,2.3,96.8,96.7,16.0
180.0,45UG,E07000228,Mid Sussex,West Sussex,South East,"124,000","127,400","139,860",2.7,9.8,381.0,419,94.2,95.9,40.0,42.0,6.0,6.0,18.8,18.1,64.6,63.8,16.6,18.1,0.9,1.1,247,17.7,"52,000","57,409",10.4,2.4,97.1,94.6,16.6
342.0,45UH,E07000229,Worthing,West Sussex,South East,"97,200","97,700","104,640",0.5,7.1,3008.0,"3,221",88.4,92.9,41.0,42.0,5.4,6.1,17.2,16.7,59.7,62.7,23.0,20.6,1.7,1.5,116,11.1,"44,000","47,044",6.9,2.2,96.7,95.4,16.3
16.0,00HA,E06000022,Bath and North East Somerset UA,Somerset,South West,"163,100","169,200","176,016",3.7,4.0,490.0,509,94.6,95.7,39.0,40.0,5.3,5.2,17.0,15.6,65.1,66.3,17.8,18.1,0.8,0.9,"1,053",59.8,"71,000","73,515",3.5,2.3,94.7,96.0,14.5
36.0,00HB,E06000023,"Bristol, City of UA",Bristol,South West,"392,200","390,000","428,234",-0.6,9.8,3558.0,"3,907",96.6,99.0,34.0,33.0,6.0,6.9,17.6,17.3,67.6,69.6,14.8,13.0,0.6,0.7,"2,216",51.7,"165,000","182,747",10.8,2.3,93.4,93.0,18.4
200.0,00HC,E06000024,North Somerset UA,Somerset,South West,"179,200","188,800","202,566",5.4,7.3,505.0,542,94.5,94.6,42.0,44.0,5.5,5.8,17.7,16.9,62.9,62.0,19.3,21.0,1.0,1.2,134,6.6,"80,000","88,227",10.3,2.3,94.9,97.0,15.1
256.0,00HD,E06000025,South Gloucestershire UA,Gloucestershire,South West,"222,200","246,000","262,767",10.7,6.8,495.0,529,97.7,98.5,37.0,40.0,6.2,6.1,19.5,17.7,66.0,65.4,14.4,16.9,0.5,0.7,404,15.4,"99,000","107,538",8.6,2.4,97.7,96.3,16.7
215.0,00HG,E06000026,Plymouth UA,Devon,South West,"251,200","241,000","256,384",-4.1,6.4,3020.0,"3,214",95.5,97.7,37.0,38.0,5.4,6.0,18.2,16.4,65.9,67.4,16.0,16.3,0.7,0.8,536,20.9,"103,000","109,307",6.1,2.3,95.3,93.5,15.0
304.0,00HH,E06000027,Torbay UA,Devon,South West,"122,000","130,000","130,959",6.6,0.7,2067.0,"2,082",91.0,93.0,44.0,46.0,4.8,5.1,16.8,15.3,60.6,61.1,22.5,23.6,1.4,1.4,101,7.7,"58,000","59,010",1.7,2.2,93.9,95.6,13.0
27.0,00HN,E06000028,Bournemouth UA,Dorset,South West,"157,300","163,600","183,491",4.0,12.2,3543.0,"3,974",92.4,99.2,39.0,38.0,5.0,5.6,15.6,14.5,63.3,67.9,20.9,17.6,1.3,1.3,"1,438",78.4,"72,000","82,374",14.4,2.2,94.6,93.1,17.8
216.0,00HP,E06000029,Poole UA,Dorset,South West,"134,000","138,400","147,645",3.3,6.7,2137.0,"2,280",91.4,95.5,41.0,42.0,5.2,5.7,17.3,16.2,62.4,63.3,20.2,20.4,1.0,1.2,322,21.8,"59,000","63,530",7.7,2.3,97.1,95.1,15.4
289.0,00HX,E06000030,Swindon UA,Wiltshire,South West,"171,500","180,100","209,156",5.0,16.1,783.0,909,98.9,100.1,36.0,38.0,6.3,6.7,19.7,18.5,66.5,67.7,13.8,13.8,0.5,0.6,392,18.7,"75,000","88,360",17.8,2.4,98.2,95.1,20.0
72.0,00HE,E06000052,Cornwall UA,Cornwall and Scilly,South West,"469,500","500,000","532,273",6.5,6.5,141.0,150,93.7,93.9,43.0,45.0,5.2,5.1,17.3,15.7,62.7,62.7,20.1,21.7,0.9,1.0,382,7.2,"215,000","230,389",7.2,2.3,95.0,95.0,12.8
149.0,00HF,E06000053,Isles of Scilly UA,Cornwall and Scilly,South West,"2,000","2,100","2,203",5.0,4.9,128.0,135,100.0,100.1,47.0,46.0,4.8,4.8,14.3,14.7,57.1,62.3,19.0,23.0,0.0,1.5,10,45.4,"1,000",989,-1.1,2.1,95.5,95.5,13.0
334.0,00HY,E06000054,Wiltshire UA,Wiltshire,South West,"398,700","433,500","470,981",8.7,8.6,133.0,145,97.2,96.9,39.0,42.0,6.1,6.0,19.2,18.0,64.3,63.8,16.4,18.2,0.7,0.9,532,11.3,"177,000","194,194",9.7,2.4,97.1,95.8,15.3
91.0,18UB,E07000040,East Devon,Devon,South West,"117,700","125,700","132,457",6.8,5.4,154.0,163,89.3,91.6,48.0,49.0,4.4,4.4,15.3,14.3,57.8,57.5,26.9,28.2,1.5,1.7,82,6.2,"55,000","59,071",7.4,2.2,98.2,97.1,10.8
107.0,18UC,E07000041,Exeter,Devon,South West,"104,800","111,200","117,773",6.1,5.9,2365.0,"2,504",94.4,94.5,36.0,35.0,5.0,5.7,16.0,15.0,68.0,69.5,16.2,15.5,0.8,0.9,"1,255",106.6,"47,000","49,242",4.8,2.3,93.6,95.6,14.1
178.0,18UD,E07000042,Mid Devon,Devon,South West,"64,700","69,900","77,750",8.0,11.2,77.0,85,95.8,95.9,41.0,44.0,5.4,5.8,18.3,17.3,62.9,62.3,18.6,20.4,0.9,1.0,61,7.8,"29,000","32,758",13.0,2.3,97.8,96.7,11.8
192.0,18UE,E07000043,North Devon,Devon,South West,"85,000","87,700","93,667",3.2,6.8,81.0,86,94.5,94.7,43.0,45.0,5.0,5.4,17.7,16.1,62.3,61.7,20.3,22.2,0.9,1.2,72,7.7,"37,000","40,001",8.1,2.3,98.8,97.5,10.9
